anio,lengua,lengua_nombre,variante,cve_ent,certeza,num
1990,0602,Maya,,014,sin,10.0
1990,0602,Maya,,020,sin,10.0
1990,0602,Maya,,025,sin,10.0
1990,0602,Maya,,026,sin,10.0
1990,0602,Maya,,028,sin,10.0
1990,0602,Maya,,214,sin,10.0
1990,0602,Maya,maya,031,unica,1610.0
1990,0602,Maya,maya,004,unica,190.0
1990,0602,Maya,maya,023,unica,30.0
1990,0604,Ch'ol,ch'ol del noroeste,027,estimada,36.5
1990,0604,Ch'ol,ch'ol del noroeste,007,estimada,32.1
1990,0604,Ch'ol,ch'ol del sureste,007,estimada,7.9
1990,0604,Ch'ol,ch'ol del sureste,027,estimada,3.5
1990,0604,Ch'ol,,009,sin,10.0
1990,0606,Tseltal,tseltal del norte,007,estimada,113.3
1990,0606,Tseltal,tseltal del occidente,007,estimada,73.5
1990,0606,Tseltal,tseltal del oriente,007,estimada,39.4
1990,0606,Tseltal,tseltal del sur,007,estimada,13.8
1990,0606,Tseltal,,009,sin,70.0
1990,0606,Tseltal,,005,sin,10.0
1990,0606,Tseltal,,014,sin,10.0
1990,0606,Tseltal,,030,sin,10.0
1990,0606,Tseltal,,249,sin,10.0
1990,0607,Tsotsil,tsotsil del norte alto,007,estimada,62.6
1990,0607,Tsotsil,tsotsil del centro,007,estimada,42.1
1990,0607,Tsotsil,tsotsil del noroeste,007,estimada,35.3
1990,0607,Tsotsil,tsotsil de los Altos,007,estimada,21.4
1990,0607,Tsotsil,tsotsil del este bajo,007,estimada,20.1
1990,0607,Tsotsil,tsotsil del este alto,007,estimada,5.1
1990,0607,Tsotsil,tsotsil del norte bajo,007,estimada,3.3
1990,0607,Tsotsil,,009,sin,30.0
1990,0607,Tsotsil,,002,sin,10.0
1990,0607,Tsotsil,,011,sin,10.0
1990,0607,Tsotsil,,020,sin,10.0
1990,0607,Tsotsil,,423,sin,10.0
1990,0608,Q'anjob'al,,012,sin,10.0
1990,0611,Qato'k,,012,sin,10.0
1990,0613,Tojolabal,,402,sin,20.0
1990,0613,Tojolabal,,009,sin,10.0
1990,0613,Tojolabal,tojolabal,007,unica,10.0
1990,0614,Q'eqchi',,218,sin,20.0
1990,0614,Q'eqchi',,224,sin,20.0
1990,0614,Q'eqchi',,209,sin,10.0
1990,0614,Q'eqchi',,236,sin,10.0
1990,0615,K'iche',,001,sin,10.0
1990,0618,Mam,,224,sin,20.0
1990,0701,Totonaco,totonaco central del sur,021,estimada,1118.0
1990,0701,Totonaco,totonaco de la costa,030,estimada,520.8
1990,0701,Totonaco,totonaco central del sur,030,estimada,514.3
1990,0701,Totonaco,totonaco central alto,030,estimada,166.3
1990,0701,Totonaco,totonaco central del norte,021,estimada,134.5
1990,0701,Totonaco,totonaco del río Necaxa,021,estimada,63.0
1990,0701,Totonaco,totonaco central del norte,030,estimada,25.7
1990,0701,Totonaco,totonaco del cerro Xinolatépetl,021,estimada,4.5
1990,0701,Totonaco,totonaco del sureste,030,estimada,2.9
1990,0701,Totonaco,,009,sin,100.0
1990,0701,Totonaco,,020,sin,60.0
1990,0701,Totonaco,,029,sin,40.0
1990,0701,Totonaco,,013,sin,30.0
1990,0701,Totonaco,,012,sin,20.0
1990,0701,Totonaco,,016,sin,10.0
1990,0701,Totonaco,,022,sin,10.0
1990,0702,Tepehua,tepehua del oeste,030,estimada,21.0
1990,0702,Tepehua,tepehua del norte,030,estimada,19.0
1990,0702,Tepehua,,249,sin,10.0
1990,0702,Tepehua,tepehua del sur,013,unica,100.0
1990,0702,Tepehua,tepehua del sur,021,unica,10.0
1990,0801,Tarasco (purépecha),,009,sin,70.0
1990,0801,Tarasco (purépecha),,011,sin,40.0
1990,0801,Tarasco (purépecha),,020,sin,20.0
1990,0801,Tarasco (purépecha),,021,sin,20.0
