familia,agrupacion,variante,autodenominacion,entidades,municipios,n_localidades
oto-mangue,mazateco,mazateco de Puebla,An xo'boo,PUEBLA,PUEBLA: Coyomepan | PUEBLA: San Lorenzo Cuaunecuiltitla | PUEBLA: San Sebastián Tlacotepec | PUEBLA: Santa Ana Ateixtlahuaca,44
oto-mangue,mixteco,mixteco de Guerrero del noreste central,tu'un savi (de Guerrero del noreste central),GUERRERO,GUERRERO: Alcozáuca de Guerrero,24
oto-mangue,mixteco,mixteco de Atlamajalcingo,tu'un savi (de Atlamajalcingo),GUERRERO,GUERRERO: Atlamajalcingo del Monte,10
oto-mangue,mixteco,mixteco de Chochoapa,tu'un savi (de Chochoapa),GUERRERO,GUERRERO: Metlatónoc,1
oto-mangue,mixteco,mixteco de Coapanatoyac,tno'on sawi | tu'un savi (de Coapanatoyac),GUERRERO,GUERRERO: Copanatoyac,35
oto-mangue,mixteco,mixteco de Igualapa,tu'un Isasi (de Igualapa) | tu'un savi (de Igualapa),GUERRERO,GUERRERO: Igualapa,14
oto-mangue,mixteco,mixteco central de Guerrero,tno'on savi (central de Guerrero) | tu'un savi (central de Guerrero),GUERRERO,GUERRERO: Malinaltepec,18
oto-mangue,mixteco,mixteco de Guerrero del este medio,tu'un Isasi (de Guerrero del este medio) | tu'un isavi | tu'un savi (de Guerrero del este medio),GUERRERO,GUERRERO: Metlatónoc,154
oto-mangue,mixteco,mixteco de Tlacoachistlahuaca,tu'un savi (de Tlacoachistlahuaca),GUERRERO,GUERRERO: Tlacoachistlahuaca,39
oto-mangue,mixteco,mixteco de Tlalixtaquilla de Maldonado,tu'un savi de (Tlalixtaquilla de Maldonado),GUERRERO,GUERRERO: Tlalixtaquilla de Maldonado,8
oto-mangue,mixteco,mixteco de Guerrero del norte,tu'un savi (de Guerrero del norte),GUERRERO,GUERRERO: Alpoyeca | GUERRERO: Tlapa de Comonfort,44
oto-mangue,mixteco,mixteco de Guerrero del norte central,jnu'un sáb,GUERRERO,GUERRERO: Xalpatláhuac,11
oto-mangue,mixteco,mixteco de Xochistlahuaca,tu'un savi (de Xochistlahuaca),GUERRERO,GUERRERO: Xochistlahuaca,18
oto-mangue,mixteco,mixteco de Tlahuapa,tu'un savi (de Tlahuapa),GUERRERO,GUERRERO: Alcozáuca de Guerrero,1
oto-mangue,mixteco,mixteco de Guerrero central alto,tn'on sáv,GUERRERO,GUERRERO: Malinaltepec | GUERRERO: Xalpatláhuac,16
oto-mangue,mixteco,mixteco de Xochapa,tu'un savi (de Xochapa),GUERRERO,GUERRERO: Alcozáuca de Guerrero,1
oto-mangue,mixteco,mixteco de Zoyatlán de Juárez,tu'un savi (de Zoyatlán de Juárez),GUERRERO,GUERRERO: Alcozáuza de Guerrero,1
oto-mangue,mixteco,mixteco de Xonacatlán,tu'un savi (de Xonacatlán),GUERRERO,GUERRERO: Alcozáuca de Guerrero,1
oto-mangue,mixteco,mixteco de Ayutla,tu'un savi (de Ayutla),GUERRERO,GUERRERO: Ayutla de los Libres,82
oto-mangue,mixteco,mixteco de San Luis Acatlán,tu'un savi (de San Luis Acatlán),GUERRERO,GUERRERO: San Luis Acatlán,54
oto-mangue,mixteco,mixteco de Guerrero de la costa este,tu'un savi (de Guerrero de la costa este),GUERRERO,GUERRERO: Azoyú | GUERRERO: Cuajinicuilapa | GUERRERO: Ometepec,123
oto-mangue,mixteco,mixteco de Guerrero de la costa occidental,tu'un savi (de Guerrero de la costa occidental),GUERRERO,GUERRERO: Juan R. Escudero | GUERRERO: San Marcos | GUERRERO: Tecoanapa,55
oto-mangue,mixteco,mixteco de Guerrero de la costa central,tu'un savi (de Guerrero de la costa central),GUERRERO,GUERRERO: Copala | GUERRERO: Cuautepec | GUERRERO: Florencio Villareal,26
oto-mangue,mixteco,mixteco de Villa de Tututepec,tu'un savi (de Villa de Tututepec),OAXACA,OAXACA: Villa de Tututepec de Melchor Ocampo,48
